Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:25:12	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-108.824E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:24:49	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
9.9999999E-9	69.921874E-3	45.139231E-3	62.227933E-9	-22.885284E+0	188.57218E-3	740.07130E-3	11.530044E-9	-97.494881E+0
9.8823527E-9	70.141599E-3	61.341006E-3	62.321014E-9	-25.915241E+0	195.05411E-3	749.73345E-3	11.152385E-9	-105.60413E+0
9.7647055E-9	69.610596E-3	8.4026773E-3	62.471443E-9	-29.306950E+0	202.47804E-3	717.96089E-3	10.702649E-9	-106.81505E+0
9.6470592E-9	69.583133E-3	91.485150E-3	62.573875E-9	-22.316460E+0	207.83335E-3	678.52038E-3	10.333273E-9	-110.36428E+0
9.5294119E-9	69.952391E-3	8.0127455E-3	62.687505E-9	-26.336311E+0	212.69481E-3	687.72823E-3	9.9023980E-9	-117.03271E+0
9.4117647E-9	69.518536E-3	67.252606E-3	62.817833E-9	-25.404394E+0	221.15429E-3	595.68131E-3	9.4428412E-9	-127.76424E+0
9.2941175E-9	68.712868E-3	22.342024E-3	62.887210E-9	-22.268385E+0	224.52800E-3	631.35034E-3	9.0643217E-9	-125.75464E+0
9.1764703E-9	70.372522E-3	34.915004E-3	63.012124E-9	-26.972010E+0	230.88430E-3	653.75626E-3	8.6676231E-9	-122.66199E+0
9.0588230E-9	70.282497E-3	37.655272E-3	63.098412E-9	-26.433748E+0	240.21047E-3	543.73562E-3	8.2969862E-9	-141.00879E+0
8.9411767E-9	70.352681E-3	33.420678E-3	63.220376E-9	-24.079973E+0	246.43148E-3	562.02012E-3	7.9479721E-9	-134.00453E+0
8.8235295E-9	71.240745E-3	16.957777E-3	63.334397E-9	-26.760456E+0	251.19019E-3	594.45244E-3	7.5840196E-9	-133.34431E+0
8.7058822E-9	68.896994E-3	44.588707E-3	63.419819E-9	-25.122633E+0	258.53932E-3	518.49025E-3	7.1660113E-9	-145.36531E+0
8.5882350E-9	70.372008E-3	7.6730791E-3	63.548086E-9	-24.757814E+0	265.07619E-3	570.48273E-3	6.7091310E-9	-140.83820E+0
8.4705878E-9	68.748474E-3	44.643041E-3	63.576557E-9	-29.403221E+0	270.66344E-3	602.72819E-3	6.3072223E-9	-141.93190E+0
