Experiment	bias spectroscopy	
Saved Date	06.11.2019 10:19:41	
User		
Date		
X (m)	-3.0725E-6	
Y (m)	3.07822E-6	
Z (m)	-313.111E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	06.11.2019 10:19:09	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC M1 Freq. Shift (Hz)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	-19.398054E+0	-19.017183E+0
-992.15686E-3	-20.008530E+0	-19.755962E+0
-984.31373E-3	-19.896988E+0	-19.775595E+0
-976.47059E-3	-19.464615E+0	-19.337780E+0
-968.62745E-3	-19.068544E+0	-19.362446E+0
-960.78432E-3	-18.977282E+0	-19.386461E+0
-952.94118E-3	-19.267115E+0	-19.339445E+0
-945.09804E-3	-18.802410E+0	-19.199383E+0
-937.25491E-3	-19.259525E+0	-19.123508E+0
-929.41177E-3	-18.467840E+0	-18.981480E+0
-921.56863E-3	-18.672998E+0	-18.080185E+0
-913.72550E-3	-18.187735E+0	-18.050699E+0
-905.88236E-3	-18.429405E+0	-18.497606E+0
-898.03922E-3	-18.046288E+0	-18.094099E+0
-890.19608E-3	-17.818047E+0	-17.751480E+0
-882.35295E-3	-17.769651E+0	-17.386312E+0
-874.50981E-3	-18.214746E+0	-18.044960E+0
-866.66667E-3	-17.879671E+0	-17.838390E+0
-858.82354E-3	-17.077763E+0	-17.389673E+0
-850.98040E-3	-17.487976E+0	-17.754280E+0
-843.13726E-3	-17.104801E+0	-17.345392E+0
-835.29413E-3	-18.097963E+0	-17.827826E+0
-827.45099E-3	-17.090780E+0	-17.586023E+0
-819.60785E-3	-17.022158E+0	-17.001734E+0
-811.76472E-3	-17.021107E+0	-17.190205E+0
-803.92158E-3	-16.733128E+0	-16.897093E+0
-796.07844E-3	-17.128819E+0	-17.179195E+0
-788.23531E-3	-16.977777E+0	-17.105358E+0
-780.39217E-3	-16.598101E+0	-15.918278E+0
-772.54903E-3	-16.973900E+0	-16.594561E+0
-764.70590E-3	-17.416307E+0	-16.507710E+0
-756.86276E-3	-16.586493E+0	-16.266108E+0
-749.01962E-3	-16.863657E+0	-16.314341E+0
-741.17649E-3	-15.778684E+0	-15.957945E+0
-733.33335E-3	-16.847874E+0	-16.626028E+0
-725.49021E-3	-16.287413E+0	-16.011639E+0
-717.64708E-3	-16.197203E+0	-15.997590E+0
-709.80394E-3	-16.547695E+0	-15.998214E+0
-701.96080E-3	-16.402710E+0	-15.531878E+0
-694.11767E-3	-16.267672E+0	-15.647688E+0
-686.27453E-3	-15.938486E+0	-15.829336E+0
-678.43139E-3	-16.075838E+0	-15.668548E+0
-670.58825E-3	-15.438098E+0	-15.258773E+0
-662.74512E-3	-15.737980E+0	-14.803360E+0
-654.90198E-3	-15.600899E+0	-15.436033E+0
-647.05884E-3	-16.344437E+0	-15.797679E+0
-639.21571E-3	-15.461859E+0	-15.168888E+0
-631.37257E-3	-14.979407E+0	-14.858953E+0
-623.52937E-3	-15.095717E+0	-15.229231E+0
-615.68624E-3	-15.422245E+0	-15.345313E+0
-607.84310E-3	-15.406007E+0	-14.831208E+0
-599.99996E-3	-14.413944E+0	-14.082371E+0
-592.15683E-3	-15.624430E+0	-15.235354E+0
-584.31369E-3	-14.836286E+0	-15.292755E+0
-576.47055E-3	-15.058689E+0	-14.700461E+0
-568.62742E-3	-14.551111E+0	-14.817919E+0
-560.78428E-3	-14.952325E+0	-14.856276E+0
-552.94114E-3	-14.333881E+0	-15.223570E+0
-545.09801E-3	-14.422292E+0	-14.908197E+0
-537.25487E-3	-14.595330E+0	-15.109975E+0
-529.41173E-3	-14.517380E+0	-15.228152E+0
-521.56860E-3	-14.235030E+0	-14.029575E+0
-513.72546E-3	-13.998428E+0	-14.320189E+0
-505.88232E-3	-14.409987E+0	-14.858186E+0
-498.03919E-3	-13.890447E+0	-14.472903E+0
-490.19605E-3	-14.080346E+0	-14.178124E+0
-482.35291E-3	-13.478110E+0	-14.288907E+0
-474.50978E-3	-14.299328E+0	-14.808022E+0
-466.66664E-3	-13.985012E+0	-14.853712E+0
-458.82350E-3	-13.272582E+0	-13.878777E+0
-450.98037E-3	-13.415545E+0	-14.069255E+0
-443.13723E-3	-13.001471E+0	-13.837152E+0
-435.29409E-3	-13.908055E+0	-14.227686E+0
-427.45095E-3	-13.481129E+0	-13.942487E+0
-419.60782E-3	-14.025393E+0	-13.268044E+0
-411.76468E-3	-13.804988E+0	-13.785106E+0
