Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:33:29	
User		
Date		
X (m)	5.06156E-6	
Y (m)	-1.36687E-6	
Z (m)	-59.6553E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:32:54	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	39.676880E-9	-74.153206E+0	39.851177E-9	-76.182594E+0
-992.15686E-3	39.659426E-9	-73.984726E+0	39.882039E-9	-73.942154E+0
-984.31373E-3	39.629757E-9	-74.445465E+0	39.923581E-9	-74.663689E+0
-976.47059E-3	39.605396E-9	-74.883163E+0	39.960995E-9	-73.715256E+0
-968.62745E-3	39.588056E-9	-72.834549E+0	39.981991E-9	-72.873878E+0
-960.78432E-3	39.567070E-9	-72.978439E+0	40.002288E-9	-71.479897E+0
-952.94118E-3	39.551296E-9	-71.412094E+0	40.022332E-9	-72.288193E+0
-945.09804E-3	39.539366E-9	-71.737740E+0	40.051596E-9	-72.766243E+0
-937.25491E-3	39.540652E-9	-70.360435E+0	40.081048E-9	-71.471352E+0
-929.41177E-3	39.537564E-9	-70.944443E+0	40.107906E-9	-70.612984E+0
-921.56863E-3	39.532818E-9	-69.545647E+0	40.138296E-9	-71.148788E+0
-913.72550E-3	39.525716E-9	-69.446007E+0	40.157929E-9	-69.950241E+0
-905.88236E-3	39.525645E-9	-68.978722E+0	40.181561E-9	-69.651360E+0
-898.03922E-3	39.530693E-9	-69.027252E+0	40.202764E-9	-69.018509E+0
-890.19608E-3	39.521858E-9	-68.705315E+0	40.223725E-9	-69.350357E+0
-882.35295E-3	39.518827E-9	-68.183884E+0	40.242757E-9	-68.700256E+0
-874.50981E-3	39.517932E-9	-67.791634E+0	40.264108E-9	-68.655510E+0
-866.66667E-3	39.519666E-9	-67.121231E+0	40.294800E-9	-68.648270E+0
-858.82354E-3	39.516021E-9	-66.383728E+0	40.315047E-9	-67.351715E+0
-850.98040E-3	39.512841E-9	-65.831093E+0	40.340417E-9	-66.338814E+0
-843.13726E-3	39.516948E-9	-65.660889E+0	40.354269E-9	-66.293404E+0
-835.29413E-3	39.523005E-9	-65.336250E+0	40.369109E-9	-65.201149E+0
