Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:24:04	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-107.146E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:23:53	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
9.9999999E-9	68.772376E-3	80.084123E-3	82.746880E-9	-24.995975E+0	178.20179E-3	720.45082E-3	16.762025E-9	-93.171638E+0
9.8823527E-9	68.531804E-3	35.543993E-3	82.863330E-9	-21.897707E+0	182.75401E-3	664.05547E-3	16.203479E-9	-94.889748E+0
9.7647055E-9	68.586729E-3	51.266529E-3	83.047894E-9	-26.619440E+0	190.21912E-3	660.24613E-3	15.663526E-9	-97.998932E+0
9.6470592E-9	68.954974E-3	54.047063E-3	83.168182E-9	-25.328115E+0	195.81503E-3	668.10262E-3	15.134471E-9	-99.669289E+0
9.5294119E-9	68.792216E-3	51.200014E-3	83.363545E-9	-23.670835E+0	200.47353E-3	580.33675E-3	14.585989E-9	-113.55464E+0
9.4117647E-9	68.636067E-3	35.902429E-3	83.510592E-9	-25.677341E+0	207.10754E-3	666.87423E-3	14.101186E-9	-103.69080E+0
9.2941175E-9	69.077559E-3	60.249377E-3	83.611035E-9	-24.351465E+0	212.23958E-3	650.95961E-3	13.658944E-9	-106.38296E+0
9.1764703E-9	70.190430E-3	16.413338E-3	83.822783E-9	-24.428551E+0	215.69774E-3	662.77325E-3	13.205625E-9	-114.58914E+0
9.0588230E-9	69.105528E-3	50.514527E-3	83.927411E-9	-30.288895E+0	220.18179E-3	625.83947E-3	12.676191E-9	-111.56504E+0
8.9411767E-9	69.164023E-3	11.481261E-3	84.060126E-9	-26.404074E+0	226.51571E-3	652.48340E-3	12.187258E-9	-115.94602E+0
8.8235295E-9	68.563335E-3	57.757806E-3	84.216552E-9	-24.545227E+0	232.76113E-3	569.74846E-3	11.717254E-9	-124.91027E+0
8.7058822E-9	69.186911E-3	9.6624075E-3	84.293220E-9	-28.870495E+0	238.66932E-3	597.31531E-3	11.278749E-9	-127.66945E+0
8.5882350E-9	68.745419E-3	41.793756E-3	84.440273E-9	-23.692648E+0	247.04488E-3	544.35349E-3	10.879294E-9	-127.22436E+0
8.4705878E-9	67.775980E-3	26.621798E-3	84.504777E-9	-26.137283E+0	251.23239E-3	600.21824E-3	10.471176E-9	-129.54008E+0
8.3529414E-9	68.834431E-3	24.027955E-3	84.671115E-9	-27.519075E+0	255.59539E-3	543.64133E-3	10.116502E-9	-138.32935E+0
8.2352942E-9	69.065854E-3	44.091210E-3	84.793037E-9	-22.901011E+0	261.11093E-3	571.44618E-3	9.6841806E-9	-133.38953E+0
8.1176470E-9	68.512976E-3	10.032930E-3	84.883702E-9	-25.854458E+0	267.26583E-3	503.63678E-3	9.2278247E-9	-140.49748E+0
7.9999998E-9	68.140157E-3	26.333408E-3	85.003975E-9	-26.430620E+0	272.33276E-3	556.15336E-3	8.8620205E-9	-140.29832E+0
7.8823525E-9	69.145203E-3	35.512038E-3	85.063910E-9	-21.642550E+0	278.28929E-3	547.11545E-3	8.4469409E-9	-141.04869E+0
7.7647062E-9	69.195554E-3	8.0487737E-3	85.200249E-9	-27.901270E+0	285.32207E-3	510.05572E-3	8.0470128E-9	-146.39384E+0
7.6470590E-9	68.968199E-3	46.915818E-3	85.305309E-9	-25.850145E+0	293.16762E-3	510.93036E-3	7.6412165E-9	-144.86804E+0
7.5294118E-9	69.235228E-3	9.9903494E-3	85.388614E-9	-25.225489E+0	301.20951E-3	508.16011E-3	7.2854882E-9	-155.62009E+0
7.4117645E-9	69.212846E-3	19.075260E-3	85.529187E-9	-27.504051E+0	307.19551E-3	467.82818E-3	6.9615140E-9	-155.52518E+0
7.2941173E-9	68.421431E-3	16.757889E-3	85.576580E-9	-26.991058E+0	314.73288E-3	560.48542E-3	6.6401018E-9	-144.49403E+0
7.1764705E-9	69.685370E-3	2.5705788E-3	85.695092E-9	-24.671944E+0	317.89908E-3	519.22983E-3	6.3552577E-9	-155.63321E+0
7.0588237E-9	69.039911E-3	24.741249E-3	85.716685E-9	-30.612268E+0	322.51891E-3	706.25269E-3	5.9631740E-9	-153.54871E+0
6.9411765E-9	69.460548E-3	-3.5549160E-3	85.829377E-9	-25.889793E+0	329.75310E-3	734.56961E-3	5.5696474E-9	-158.02315E+0
6.8235293E-9	68.565369E-3	26.817922E-3	85.940144E-9	-25.790953E+0	336.47105E-3	905.67833E-3	5.0672164E-9	-149.39832E+0
6.7058821E-9	70.531212E-3	-10.482657E-3	86.006267E-9	-28.589672E+0	345.98643E-3	1.0468252E+0	4.5616133E-9	-138.41675E+0
6.5882353E-9	69.384769E-3	36.911592E-3	86.073136E-9	-23.277821E+0	356.38681E-3	1.3615677E+0	3.8759600E-9	-128.70334E+0
6.4705881E-9	70.357770E-3	2.5916134E-3	86.155268E-9	-25.800434E+0	363.56202E-3	2.2146385E+0	2.9871232E-9	-122.68687E+0
6.3529413E-9	69.761656E-3	5.9408722E-3	86.282363E-9	-30.218121E+0	374.04427E-3	18.101851E+0	1.5842898E-9	-47.395424E+0
6.2352941E-9	69.472753E-3	17.609654E-3	86.296119E-9	-23.708975E+0	3.2499304E+0	14.619075E+0	19.127764E-12	-130.75186E+0
6.1176468E-9	69.743857E-3	4.3305717E-3	86.350511E-9	-27.278273E+0	3.3198762E+0	65.782990E+0	20.737755E-12	-133.43021E+0
6.0000001E-9	69.647729E-3	7.3859151E-3	86.456936E-9	-26.666300E+0	3.3349783E+0	-43.961143E+0	27.764031E-12	-223.90419E+0
5.8823528E-9	68.990074E-3	25.500346E-3	86.532403E-9	-24.377918E+0	3.3392088E+0	-13.841951E+0	18.824164E-12	-130.71843E+0
5.7647060E-9	69.187932E-3	-20.439826E-3	86.644548E-9	-28.549885E+0	3.3351638E+0	23.733486E+0	36.690404E-12	-104.16255E+0
5.6470588E-9	70.067339E-3	32.838777E-3	86.645755E-9	-28.983429E+0	3.3260880E+0	-103.20083E+0	11.421421E-12	-130.98883E+0
5.5294116E-9	70.380151E-3	-18.278958E-3	86.736051E-9	-24.115707E+0	3.3234501E+0	-29.539690E+0	20.450322E-12	-186.05569E+0
5.4117648E-9	70.859276E-3	26.842961E-3	86.784411E-9	-27.884830E+0	3.3114872E+0	-80.758156E+0	13.954850E-12	-190.47147E+0
5.2941176E-9	70.647687E-3	-23.312347E-3	86.808612E-9	-27.609100E+0	3.2914460E+0	-55.417290E+0	13.873801E-12	-180.48030E+0
5.1764704E-9	69.425456E-3	27.178928E-3	86.925837E-9	-23.995268E+0	3.2709136E+0	-56.094074E+0	26.193709E-12	-208.63261E+0
5.0588236E-9	70.567325E-3	-16.589953E-3	86.908422E-9	-30.812016E+0	3.2512491E+0	19.717459E+0	18.584929E-12	-150.61661E+0
4.9411764E-9	69.806419E-3	14.478680E-3	87.017774E-9	-26.279310E+0	3.2337337E+0	-54.308247E+0	23.656545E-12	-182.35823E+0
4.8235291E-9	69.414265E-3	-206.33570E-6	87.086391E-9	-25.099831E+0	3.2221355E+0	-70.214417E+0	24.005398E-12	-231.12263E+0
4.7058824E-9	69.424443E-3	-375.82280E-6	87.103665E-9	-30.231649E+0	3.2124665E+0	4.3976402E+0	17.384783E-12	-165.72212E+0
4.5882351E-9	70.066832E-3	-8.3413227E-3	87.202594E-9	-26.395552E+0	3.1890492E+0	-45.381718E+0	30.549160E-12	-222.39580E+0
4.4705883E-9	70.511885E-3	15.066065E-3	87.197670E-9	-27.258583E+0	3.1532822E+0	-15.973647E+0	19.848800E-12	-158.05707E+0
4.3529411E-9	69.492087E-3	-32.681722E-3	87.290417E-9	-31.280006E+0	3.1249745E+0	3.4593067E+0	24.252971E-12	-136.42003E+0
4.2352939E-9	68.995662E-3	39.793227E-3	87.335359E-9	-24.975857E+0	3.1123521E+0	-39.938797E+0	28.983147E-12	-200.44272E+0
4.1176471E-9	70.401505E-3	-42.827126E-3	87.380364E-9	-28.305830E+0	3.0910430E+0	38.046963E+0	20.757535E-12	-155.91504E+0
