Experiment	Z spectroscopy	
Saved Date	05.02.2020 13:47:10	
User		
X (m)	1.12911E-6	
Y (m)	1.00575E-6	
Z (m)	-269.562E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	35E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	05.02.2020 13:46:52	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
9.9999999E-9	155.72865E-3	4.8735389E-9	-37.633602E+0	156.83289E-3	4.1319237E-9	-18.549389E+0
9.8627453E-9	155.77799E-3	4.8907292E-9	-23.039675E+0	156.51958E-3	4.0911488E-9	-30.509974E+0
9.7254897E-9	156.18083E-3	4.9110844E-9	-22.579256E+0	156.45345E-3	4.0542569E-9	-40.814877E+0
9.5882351E-9	155.39703E-3	4.9193067E-9	-36.668747E+0	155.73782E-3	4.0116497E-9	-35.477722E+0
9.4509804E-9	155.21240E-3	4.9362581E-9	-36.608509E+0	157.83744E-3	3.9641357E-9	-25.896132E+0
9.3137258E-9	155.98348E-3	4.9410689E-9	-24.557384E+0	156.83188E-3	3.9240149E-9	-32.068699E+0
9.1764703E-9	155.44790E-3	4.9484505E-9	-47.773575E+0	156.26273E-3	3.8801069E-9	-39.574898E+0
9.0392156E-9	156.99260E-3	4.9611546E-9	-35.377014E+0	157.29523E-3	3.8267962E-9	-27.024340E+0
8.9019609E-9	155.85123E-3	4.9673412E-9	-38.443214E+0	156.07351E-3	3.7698191E-9	-20.513290E+0
8.7647063E-9	155.97941E-3	4.9761577E-9	-33.016933E+0	156.50076E-3	3.7144110E-9	-35.992538E+0
8.6274508E-9	156.79830E-3	4.9884310E-9	-39.049000E+0	156.01043E-3	3.6596843E-9	-37.812153E+0
8.4901961E-9	156.64774E-3	4.9900155E-9	-43.484486E+0	156.70216E-3	3.5987551E-9	-20.492697E+0
8.3529414E-9	156.09691E-3	4.9968785E-9	-29.188839E+0	155.64626E-3	3.5344903E-9	-30.501562E+0
8.2156859E-9	156.34511E-3	5.0212137E-9	-33.449207E+0	156.70878E-3	3.4682905E-9	-43.455421E+0
8.0784313E-9	156.75099E-3	5.0279469E-9	-45.968124E+0	157.13958E-3	3.3982814E-9	-39.703445E+0
7.9411766E-9	156.73015E-3	5.0333422E-9	-40.637051E+0	156.52618E-3	3.3308094E-9	-28.726328E+0
7.8039211E-9	156.59791E-3	5.0355049E-9	-24.928833E+0	156.21032E-3	3.2540912E-9	-32.392735E+0
7.6666664E-9	156.03079E-3	5.0351319E-9	-46.312763E+0	156.82220E-3	3.1773457E-9	-38.221375E+0
