Experiment	Experiment	
Saved Date	09.09.2019 12:13:33	
User		
f_res (Hz)	408132.020	
Q	180	
Phase (deg)	-343.34	
Amp/Exc (nm/mV)	0.316041	
Number of points	256	
Fit length	 	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-250.00000E+3	250.00000E+3	27.086050E-12	97.494537E+0
-248.03922E+3	250.00000E+3	24.180043E-12	-1.0800527E+0
-246.07844E+3	250.00000E+3	21.571711E-12	-473.88130E-3
-244.11766E+3	250.00000E+3	19.984485E-12	-367.82217E-3
-242.15687E+3	250.00000E+3	16.985515E-12	-1.4645709E+0
-240.19609E+3	250.00000E+3	13.972269E-12	-3.0123966E+0
-238.23531E+3	250.00000E+3	11.309080E-12	-2.1227729E+0
-236.27453E+3	250.00000E+3	9.4799012E-12	-1.3912015E+0
-234.31375E+3	250.00000E+3	8.5137323E-12	-3.7834361E+0
-232.35297E+3	250.00000E+3	7.6041638E-12	-2.9336305E+0
-230.39219E+3	250.00000E+3	7.2719079E-12	-3.7577887E+0
-228.43141E+3	250.00000E+3	7.1053879E-12	-3.0123708E+0
-226.47062E+3	250.00000E+3	7.2191779E-12	-8.5489368E+0
-224.50984E+3	250.00000E+3	7.3817038E-12	-5.4102211E+0
-222.54906E+3	250.00000E+3	7.7154420E-12	-4.1653433E+0
-220.58828E+3	250.00000E+3	8.7835919E-12	-3.8199189E+0
-218.62750E+3	250.00000E+3	10.327478E-12	-1.4571532E+0
-216.66672E+3	250.00000E+3	12.701905E-12	13.825039E-3
-214.70594E+3	250.00000E+3	15.942428E-12	-1.3906932E+0
-212.74516E+3	250.00000E+3	18.128091E-12	-1.7162925E+0
-210.78437E+3	250.00000E+3	20.922103E-12	-1.1302339E+0
-208.82359E+3	250.00000E+3	23.088999E-12	-3.4703176E+0
-206.86281E+3	250.00000E+3	23.824004E-12	-509.38570E-3
-204.90203E+3	250.00000E+3	23.939307E-12	-4.2475572E+0
-202.94125E+3	250.00000E+3	23.048164E-12	-1.3225224E+0
-200.98047E+3	250.00000E+3	22.235769E-12	4.5997686E+0
-199.01969E+3	250.00000E+3	45.082094E-12	34.841812E+0
