Experiment	Experiment	
Saved Date	06.05.2019 10:55:21	
User		
f_res (Hz)	60930.4413	
Q	240	
Phase (deg)	3.99	
Amp/Exc (nm/mV)	34070464.000	
Number of points	128	
Fit length	 	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-610.00000E+0	60.944746E+3	126.05229E-3	99.620346E+0
-600.39368E+0	60.944746E+3	125.89356E-3	98.466125E+0
-590.78735E+0	60.944746E+3	125.39168E-3	97.561523E+0
-581.18103E+0	60.944746E+3	124.06711E-3	97.399063E+0
-571.57471E+0	60.944746E+3	123.79895E-3	97.496796E+0
-561.96838E+0	60.944746E+3	123.69675E-3	98.104630E+0
-552.36206E+0	60.944746E+3	124.97728E-3	98.132050E+0
-542.75574E+0	60.944746E+3	125.60195E-3	99.070320E+0
-533.14941E+0	60.944746E+3	127.89923E-3	99.479790E+0
-523.54309E+0	60.944746E+3	130.36785E-3	100.31816E+0
-513.93677E+0	60.944746E+3	133.29364E-3	100.15320E+0
-504.33047E+0	60.944746E+3	136.51744E-3	101.20992E+0
-494.72418E+0	60.944746E+3	141.11303E-3	101.19247E+0
-485.11789E+0	60.944746E+3	145.12342E-3	101.74059E+0
-475.51160E+0	60.944746E+3	150.78391E-3	101.66321E+0
-465.90530E+0	60.944746E+3	155.70021E-3	101.81690E+0
-456.29901E+0	60.944746E+3	161.74448E-3	102.12442E+0
-446.69272E+0	60.944746E+3	168.15798E-3	101.51048E+0
-437.08643E+0	60.944746E+3	173.79242E-3	101.14548E+0
-427.48013E+0	60.944746E+3	182.44106E-3	100.94418E+0
-417.87384E+0	60.944746E+3	189.76799E-3	100.11442E+0
-408.26755E+0	60.944746E+3	197.90010E-3	99.610741E+0
-398.66125E+0	60.944746E+3	206.54397E-3	98.806854E+0
-389.05496E+0	60.944746E+3	217.13896E-3	98.098549E+0
-379.44867E+0	60.944746E+3	226.41192E-3	96.675659E+0
-369.84238E+0	60.944746E+3	237.16016E-3	95.462341E+0
-360.23608E+0	60.944746E+3	248.97626E-3	94.508034E+0
-350.62979E+0	60.944746E+3	259.71955E-3	92.675232E+0
-341.02350E+0	60.944746E+3	269.68056E-3	91.023468E+0
-331.41721E+0	60.944746E+3	281.08436E-3	89.143105E+0
-321.81091E+0	60.944746E+3	292.34707E-3	87.626823E+0
-312.20462E+0	60.944746E+3	303.55889E-3	85.836838E+0
-302.59833E+0	60.944746E+3	316.30161E-3	84.296585E+0
-292.99203E+0	60.944746E+3	329.57256E-3	82.434395E+0
-283.38574E+0	60.944746E+3	343.09235E-3	80.652260E+0
-273.77945E+0	60.944746E+3	357.90810E-3	78.717377E+0
-264.17316E+0	60.944746E+3	374.40875E-3	76.864876E+0
-254.56686E+0	60.944746E+3	393.55275E-3	74.953102E+0
-244.96057E+0	60.944746E+3	413.44479E-3	72.544563E+0
-235.35428E+0	60.944746E+3	434.31082E-3	69.957512E+0
-225.74799E+0	60.944746E+3	453.41593E-3	67.046417E+0
-216.14169E+0	60.944746E+3	472.48411E-3	64.285744E+0
-206.53540E+0	60.944746E+3	492.86568E-3	61.172855E+0
-196.92911E+0	60.944746E+3	513.06415E-3	58.396080E+0
-187.32281E+0	60.944746E+3	532.68415E-3	55.242035E+0
-177.71652E+0	60.944746E+3	553.59465E-3	51.832413E+0
-168.11023E+0	60.944746E+3	574.54962E-3	48.659580E+0
-158.50394E+0	60.944746E+3	596.71634E-3	45.219334E+0
-148.89764E+0	60.944746E+3	617.09636E-3	41.682941E+0
-139.29135E+0	60.944746E+3	638.17716E-3	37.946865E+0
-129.68506E+0	60.944746E+3	663.01608E-3	34.430801E+0
-120.07876E+0	60.944746E+3	683.75736E-3	30.229137E+0
-110.47246E+0	60.944746E+3	704.83524E-3	26.294210E+0
-100.86616E+0	60.944746E+3	725.33786E-3	22.388044E+0
-91.259857E+0	60.944746E+3	747.84255E-3	18.011032E+0
-81.653557E+0	60.944746E+3	768.83858E-3	13.693164E+0
-72.047256E+0	60.944746E+3	789.99627E-3	8.9799461E+0
-62.440956E+0	60.944746E+3	806.45818E-3	4.0534282E+0
-52.834656E+0	60.944746E+3	823.05235E-3	-950.76770E-3
-43.228355E+0	60.944746E+3	836.35241E-3	-6.1310420E+0
-33.622055E+0	60.944746E+3	851.76164E-3	-11.586793E+0
-24.015755E+0	60.944746E+3	851.22138E-3	-17.301552E+0
-14.409455E+0	60.944746E+3	848.95235E-3	-23.306040E+0
-4.8031559E+0	60.944746E+3	838.99057E-3	-28.916788E+0
4.8031435E+0	60.944746E+3	824.79316E-3	-34.602638E+0
14.409443E+0	60.944746E+3	804.78770E-3	-39.943691E+0
24.015743E+0	60.944746E+3	786.53783E-3	-45.315685E+0
33.622044E+0	60.944746E+3	758.00991E-3	-50.148167E+0
43.228344E+0	60.944746E+3	732.94103E-3	-55.013054E+0
52.834644E+0	60.944746E+3	707.23885E-3	-59.506882E+0
62.440945E+0	60.944746E+3	683.08151E-3	-65.150948E+0
72.047241E+0	60.944746E+3	636.17080E-3	-69.669037E+0
81.653542E+0	60.944746E+3	605.31777E-3	-72.984886E+0
91.259842E+0	60.944746E+3	575.79207E-3	-76.249481E+0
100.86614E+0	60.944746E+3	551.24259E-3	-79.683479E+0
110.47244E+0	60.944746E+3	525.33120E-3	-83.326904E+0
120.07874E+0	60.944746E+3	498.15646E-3	-86.324265E+0
129.68504E+0	60.944746E+3	471.93381E-3	-89.549110E+0
139.29134E+0	60.944746E+3	448.30164E-3	-91.878471E+0
148.89763E+0	60.944746E+3	427.29098E-3	-94.714012E+0
158.50392E+0	60.944746E+3	406.86134E-3	-97.291397E+0
168.11021E+0	60.944746E+3	386.36184E-3	-99.926300E+0
177.71651E+0	60.944746E+3	364.63633E-3	-102.80446E+0
187.32280E+0	60.944746E+3	339.18908E-3	-105.52818E+0
196.92909E+0	60.944746E+3	310.32029E-3	-105.22869E+0
206.53539E+0	60.944746E+3	304.46202E-3	-105.01347E+0
216.14168E+0	60.944746E+3	295.17332E-3	-107.30521E+0
225.74797E+0	60.944746E+3	282.29406E-3	-109.52623E+0
235.35426E+0	60.944746E+3	268.52396E-3	-110.86965E+0
244.96056E+0	60.944746E+3	255.67180E-3	-112.36724E+0
254.56685E+0	60.944746E+3	244.73375E-3	-113.21855E+0
264.17316E+0	60.944746E+3	232.63226E-3	-114.33160E+0
273.77945E+0	60.944746E+3	222.58784E-3	-114.95972E+0
283.38574E+0	60.944746E+3	213.71056E-3	-115.70537E+0
292.99203E+0	60.944746E+3	203.65959E-3	-116.46448E+0
302.59833E+0	60.944746E+3	195.57820E-3	-116.85374E+0
312.20462E+0	60.944746E+3	190.19644E-3	-116.98769E+0
321.81091E+0	60.944746E+3	181.14206E-3	-118.08029E+0
331.41721E+0	60.944746E+3	173.02540E-3	-117.43989E+0
341.02350E+0	60.944746E+3	169.06182E-3	-116.92271E+0
350.62979E+0	60.944746E+3	165.42752E-3	-116.64226E+0
360.23608E+0	60.944746E+3	164.93809E-3	-117.23600E+0
369.84238E+0	60.944746E+3	164.08999E-3	-118.26065E+0
379.44867E+0	60.944746E+3	158.85699E-3	-119.86498E+0
389.05496E+0	60.944746E+3	155.03435E-3	-120.99300E+0
398.66125E+0	60.944746E+3	150.55932E-3	-122.69624E+0
408.26755E+0	60.944746E+3	144.92917E-3	-123.74253E+0
417.87384E+0	60.944746E+3	139.62370E-3	-123.86180E+0
427.48013E+0	60.944746E+3	134.02845E-3	-125.23319E+0
437.08643E+0	60.944746E+3	129.24413E-3	-124.58918E+0
446.69272E+0	60.944746E+3	125.33709E-3	-124.95367E+0
456.29901E+0	60.944746E+3	121.09724E-3	-125.06397E+0
465.90530E+0	60.944746E+3	117.23847E-3	-125.36958E+0
475.51160E+0	60.944746E+3	111.98146E-3	-124.31464E+0
485.11789E+0	60.944746E+3	111.30432E-3	-122.91637E+0
494.72418E+0	60.944746E+3	110.17020E-3	-121.95853E+0
504.33047E+0	60.944746E+3	109.46858E-3	-121.29555E+0
513.93677E+0	60.944746E+3	109.17399E-3	-121.55808E+0
523.54309E+0	60.944746E+3	108.59165E-3	-121.75159E+0
533.14941E+0	60.944746E+3	109.02177E-3	-122.11339E+0
542.75574E+0	60.944746E+3	107.90712E-3	-122.12828E+0
552.36206E+0	60.944746E+3	108.49576E-3	-122.59354E+0
561.96838E+0	60.944746E+3	108.15936E-3	-124.00970E+0
571.57471E+0	60.944746E+3	105.97923E-3	-124.76172E+0
581.18103E+0	60.944746E+3	105.27869E-3	-125.30270E+0
590.78735E+0	60.944746E+3	104.95840E-3	-125.11845E+0
600.39368E+0	60.944746E+3	105.44323E-3	-126.37007E+0
610.00000E+0	60.944746E+3	104.21299E-3	-127.81790E+0
