Experiment	Experiment	
Saved Date	10.09.2019 09:52:18	
User		
f_res (Hz)	407264.380	
Q	3257	
Phase (deg)	-289.80	
Amp/Exc (nm/mV)	1.750	
Number of points	256	
Fit length	 	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-4.8800000E+3	407.23291E+3	1.3510586E-9	102.18603E+0
-4.8417256E+3	407.23291E+3	1.3343164E-9	101.32758E+0
-4.8034512E+3	407.23291E+3	1.3150911E-9	100.64592E+0
-4.7651768E+3	407.23291E+3	1.2976357E-9	100.15624E+0
-4.7269023E+3	407.23291E+3	1.2792456E-9	99.735451E+0
-4.6886279E+3	407.23291E+3	1.2609820E-9	99.711365E+0
-4.6503535E+3	407.23291E+3	1.2508007E-9	99.922256E+0
-4.6120791E+3	407.23291E+3	1.2451524E-9	100.08334E+0
-4.5738047E+3	407.23291E+3	1.2423251E-9	100.45099E+0
-4.5355303E+3	407.23291E+3	1.2485188E-9	100.78296E+0
-4.4972559E+3	407.23291E+3	1.2613370E-9	101.08340E+0
-4.4589814E+3	407.23291E+3	1.2866933E-9	100.90880E+0
-4.4207070E+3	407.23291E+3	1.3063942E-9	99.822426E+0
-4.3824326E+3	407.23291E+3	1.3091735E-9	98.427719E+0
-4.3441582E+3	407.23291E+3	1.2894474E-9	97.607574E+0
-4.3058838E+3	407.23291E+3	1.2747576E-9	97.628937E+0
-4.2676094E+3	407.23291E+3	1.2679263E-9	98.013504E+0
-4.2293350E+3	407.23291E+3	1.2714443E-9	98.518524E+0
-4.1910605E+3	407.23291E+3	1.2792998E-9	98.893433E+0
-4.1527861E+3	407.23291E+3	1.2901408E-9	99.424706E+0
-4.1145117E+3	407.23291E+3	1.3120525E-9	100.02508E+0
-4.0762373E+3	407.23291E+3	1.3453071E-9	100.34422E+0
-4.0379629E+3	407.23291E+3	1.3853898E-9	100.13396E+0
-3.9996885E+3	407.23291E+3	1.4235396E-9	99.409607E+0
-3.9614141E+3	407.23291E+3	1.4579519E-9	98.472343E+0
-3.9231396E+3	407.23291E+3	1.4887184E-9	97.244064E+0
-3.8848652E+3	407.23291E+3	1.5076663E-9	95.796043E+0
-3.8465908E+3	407.23291E+3	1.5152278E-9	94.621338E+0
-3.8083164E+3	407.23291E+3	1.5208080E-9	93.854439E+0
-3.7700420E+3	407.23291E+3	1.5326468E-9	93.302231E+0
-3.7317676E+3	407.23291E+3	1.5569901E-9	93.010323E+0
-3.6934932E+3	407.23291E+3	1.5938236E-9	91.923149E+0
-3.6552187E+3	407.23291E+3	1.6229491E-9	90.331650E+0
-3.6169443E+3	407.23291E+3	1.6349329E-9	88.342102E+0
-3.5786699E+3	407.23291E+3	1.6228227E-9	86.648743E+0
-3.5403955E+3	407.23291E+3	1.6079260E-9	85.788452E+0
-3.5021211E+3	407.23291E+3	1.6046043E-9	85.186440E+0
-3.4638467E+3	407.23291E+3	1.6087752E-9	84.493828E+0
-3.4255723E+3	407.23291E+3	1.6156461E-9	83.558243E+0
-3.3872979E+3	407.23291E+3	1.6131677E-9	82.342117E+0
-3.3490234E+3	407.23291E+3	1.5976338E-9	81.333946E+0
-3.3107490E+3	407.23291E+3	1.5729467E-9	80.770660E+0
-3.2724746E+3	407.23291E+3	1.5480929E-9	80.695000E+0
-3.2342002E+3	407.23291E+3	1.5321258E-9	81.747795E+0
-3.1959258E+3	407.23291E+3	1.5576833E-9	82.976135E+0
-3.1576514E+3	407.23291E+3	1.6087172E-9	83.078072E+0
-3.1193770E+3	407.23291E+3	1.6565083E-9	81.995560E+0
-3.0811025E+3	407.23291E+3	1.6781193E-9	80.131180E+0
-3.0428281E+3	407.23291E+3	1.6631621E-9	78.789398E+0
-3.0045537E+3	407.23291E+3	1.6534750E-9	78.362328E+0
-2.9662793E+3	407.23291E+3	1.6578038E-9	77.994957E+0
-2.9280049E+3	407.23291E+3	1.6611779E-9	77.292274E+0
-2.8897305E+3	407.23291E+3	1.6535060E-9	76.641266E+0
-2.8514561E+3	407.23291E+3	1.6383389E-9	76.439812E+0
-2.8131816E+3	407.23291E+3	1.6306052E-9	76.912872E+0
-2.7749072E+3	407.23291E+3	1.6459984E-9	77.554199E+0
-2.7366328E+3	407.23291E+3	1.6810057E-9	77.771049E+0
-2.6983584E+3	407.23291E+3	1.7192261E-9	77.077240E+0
-2.6600840E+3	407.23291E+3	1.7451337E-9	75.883591E+0
-2.6218096E+3	407.23291E+3	1.7566399E-9	74.086632E+0
-2.5835352E+3	407.23291E+3	1.7238966E-9	72.364838E+0
-2.5452607E+3	407.23291E+3	1.6702035E-9	71.645859E+0
-2.5069863E+3	407.23291E+3	1.6047382E-9	71.987282E+0
-2.4687119E+3	407.23291E+3	1.5442667E-9	74.028214E+0
