Experiment	Experiment	
Saved Date	19.09.2019 14:58:48	
User		
f_res (Hz)	320445.582	
Q	60.9	
Phase (deg)	-436.90	
Amp/Exc (nm/mV)	0.035702	
Number of points	256	
Fit length	 	
Comment01	500kHz freq. sweep - 1st and 2nd resonance	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-250.00000E+3	250.00000E+3	27.043496E-12	111.20097E+0
-248.03922E+3	250.00000E+3	26.115103E-12	345.28336E-3
-246.07844E+3	250.00000E+3	23.928484E-12	21.336446E-3
-244.11766E+3	250.00000E+3	22.058700E-12	2.1388404E+0
-242.15687E+3	250.00000E+3	17.416325E-12	3.7539890E+0
-240.19609E+3	250.00000E+3	15.070702E-12	5.8025923E+0
-238.23531E+3	250.00000E+3	12.675548E-12	5.2384305E+0
-236.27453E+3	250.00000E+3	10.029630E-12	7.6808171E+0
-234.31375E+3	250.00000E+3	8.4389726E-12	8.1898661E+0
-232.35297E+3	250.00000E+3	7.3845227E-12	7.3659673E+0
-230.39219E+3	250.00000E+3	7.2438383E-12	10.036090E+0
-228.43141E+3	250.00000E+3	7.1987052E-12	13.536283E+0
-226.47062E+3	250.00000E+3	7.5356622E-12	17.986282E+0
-224.50984E+3	250.00000E+3	7.4099425E-12	7.7690353E+0
-222.54906E+3	250.00000E+3	8.0698712E-12	10.286477E+0
-220.58828E+3	250.00000E+3	9.5473976E-12	6.7377362E+0
-218.62750E+3	250.00000E+3	11.453206E-12	3.7608650E+0
-216.66672E+3	250.00000E+3	13.809433E-12	3.3299842E+0
-214.70594E+3	250.00000E+3	16.246688E-12	1.5709918E+0
-212.74516E+3	250.00000E+3	19.631295E-12	1.7776122E+0
-210.78437E+3	250.00000E+3	22.446210E-12	3.5859704E+0
-208.82359E+3	250.00000E+3	24.497623E-12	145.07681E-3
-206.86281E+3	250.00000E+3	26.964510E-12	41.828018E-3
-204.90203E+3	250.00000E+3	28.985888E-12	1.5150979E+0
-202.94125E+3	250.00000E+3	26.915846E-12	8.1643305E+0
-200.98047E+3	250.00000E+3	28.711752E-12	11.337309E+0
-199.01969E+3	250.00000E+3	31.094516E-12	25.923204E+0
-197.05891E+3	250.00000E+3	81.091453E-12	-59.588097E+0
-195.09812E+3	250.00000E+3	50.641685E-12	-89.630341E+0
-193.13734E+3	250.00000E+3	67.591495E-12	62.951740E+0
-191.17656E+3	250.00000E+3	315.85537E-12	87.201912E+0
-189.21578E+3	250.00000E+3	76.361355E-12	6.9207811E+0
-187.25500E+3	250.00000E+3	76.343168E-12	3.9378819E+0
-185.29422E+3	250.00000E+3	61.645251E-12	-2.5836124E+0
-183.33344E+3	250.00000E+3	25.058431E-12	-1.7626587E+0
-181.37266E+3	250.00000E+3	24.098517E-12	427.08129E-3
-179.41187E+3	250.00000E+3	21.220021E-12	-4.5125260E+0
-177.45109E+3	250.00000E+3	12.421354E-12	6.0412064E+0
-175.49031E+3	250.00000E+3	9.8496983E-12	-11.154166E+0
-173.52953E+3	250.00000E+3	8.8245531E-12	6.7379436E+0
-171.56875E+3	250.00000E+3	7.8894452E-12	-5.8288093E+0
-169.60797E+3	250.00000E+3	8.6787851E-12	-24.679470E+0
-167.64719E+3	250.00000E+3	11.943497E-12	26.647617E+0
-165.68641E+3	250.00000E+3	11.978820E-12	28.528473E+0
-163.72562E+3	250.00000E+3	10.945297E-12	40.792645E+0
-161.76484E+3	250.00000E+3	11.759296E-12	16.050741E+0
-159.80406E+3	250.00000E+3	11.928236E-12	22.765017E+0
-157.84328E+3	250.00000E+3	9.7496412E-12	-19.989914E+0
-155.88250E+3	250.00000E+3	8.9850601E-12	11.347094E+0
-153.92172E+3	250.00000E+3	8.1371299E-12	4.6613674E+0
-151.96094E+3	250.00000E+3	7.7033943E-12	5.4956317E+0
-150.00016E+3	250.00000E+3	7.3700993E-12	215.21455E-3
-148.03937E+3	250.00000E+3	7.0289707E-12	2.1965940E+0
-146.07859E+3	250.00000E+3	6.9318076E-12	297.80325E-3
-144.11781E+3	250.00000E+3	7.0276805E-12	-1.2492405E+0
-142.15703E+3	250.00000E+3	7.0617934E-12	7.5902057E+0
-140.19625E+3	250.00000E+3	6.8842970E-12	3.5223925E+0
-138.23547E+3	250.00000E+3	7.2002955E-12	7.2849207E+0
-136.27469E+3	250.00000E+3	7.0184388E-12	16.666540E+0
-134.31391E+3	250.00000E+3	6.9183752E-12	6.7102389E+0
-132.35312E+3	250.00000E+3	6.8895046E-12	13.153329E+0
-130.39234E+3	250.00000E+3	6.8681679E-12	1.9500872E+0
-128.43156E+3	250.00000E+3	6.9202018E-12	5.5954828E+0
-126.47078E+3	250.00000E+3	7.0189904E-12	201.07818E-3
