Experiment	Experiment	
Saved Date	19.09.2019 15:04:38	
User		
f_res (Hz)	320220.913	
Q	64.3	
Phase (deg)	-446.00	
Amp/Exc (nm/mV)	0.038029	
Number of points	256	
Fit length	 	
Comment01	500kHz freq. sweep - 1st and 2nd resonance - dumped and standing free	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-250.00000E+3	250.00000E+3	28.146364E-12	61.433231E+0
-248.03922E+3	250.00000E+3	26.923330E-12	-2.5967746E-3
-246.07844E+3	250.00000E+3	24.270679E-12	1.0686916E+0
-244.11766E+3	250.00000E+3	22.048368E-12	328.43432E-3
-242.15687E+3	250.00000E+3	18.563382E-12	2.7567875E+0
-240.19609E+3	250.00000E+3	15.329276E-12	4.4973960E+0
-238.23531E+3	250.00000E+3	12.037015E-12	8.6623116E+0
-236.27453E+3	250.00000E+3	10.273214E-12	5.3780360E+0
-234.31375E+3	250.00000E+3	8.3800267E-12	8.5153217E+0
-232.35297E+3	250.00000E+3	7.6395669E-12	10.409228E+0
-230.39219E+3	250.00000E+3	7.1987776E-12	12.186055E+0
-228.43141E+3	250.00000E+3	7.1993370E-12	13.225973E+0
-226.47062E+3	250.00000E+3	7.5742754E-12	20.442791E+0
-224.50984E+3	250.00000E+3	8.0197021E-12	8.6770363E+0
-222.54906E+3	250.00000E+3	8.8150485E-12	11.640872E+0
-220.58828E+3	250.00000E+3	10.317797E-12	5.6499014E+0
-218.62750E+3	250.00000E+3	10.564674E-12	7.5186610E+0
-216.66672E+3	250.00000E+3	12.289353E-12	2.6073773E+0
-214.70594E+3	250.00000E+3	14.469987E-12	3.1180489E+0
-212.74516E+3	250.00000E+3	17.123872E-12	3.8883212E+0
-210.78437E+3	250.00000E+3	19.169267E-12	3.9797177E+0
-208.82359E+3	250.00000E+3	21.065883E-12	2.6331346E+0
-206.86281E+3	250.00000E+3	23.912967E-12	2.1601462E+0
-204.90203E+3	250.00000E+3	23.996149E-12	440.57429E-3
-202.94125E+3	250.00000E+3	24.794349E-12	8.3620481E+0
-200.98047E+3	250.00000E+3	27.030569E-12	12.713978E+0
-199.01969E+3	250.00000E+3	43.323425E-12	21.207062E+0
-197.05891E+3	250.00000E+3	69.772403E-12	-28.020458E+0
-195.09812E+3	250.00000E+3	45.327464E-12	-131.51610E+0
-193.13734E+3	250.00000E+3	120.54056E-12	66.288574E+0
-191.17656E+3	250.00000E+3	347.24726E-12	86.492409E+0
-189.21578E+3	250.00000E+3	114.05650E-12	5.3529563E+0
-187.25500E+3	250.00000E+3	42.150207E-12	16.392109E+0
-185.29422E+3	250.00000E+3	42.968382E-12	-2.9058526E+0
-183.33344E+3	250.00000E+3	58.399924E-12	-287.42772E-3
-181.37266E+3	250.00000E+3	45.561534E-12	-1.1413410E+0
-179.41187E+3	250.00000E+3	20.424232E-12	-3.9959574E+0
-177.45109E+3	250.00000E+3	13.945877E-12	313.72601E-3
-175.49031E+3	250.00000E+3	13.766805E-12	-4.1932731E+0
-173.52953E+3	250.00000E+3	8.3202811E-12	8.0265532E+0
-171.56875E+3	250.00000E+3	7.8536075E-12	-12.001298E+0
-169.60797E+3	250.00000E+3	8.5184255E-12	-20.557751E+0
-167.64719E+3	250.00000E+3	11.635906E-12	22.579414E+0
-165.68641E+3	250.00000E+3	9.4965962E-12	31.888189E+0
-163.72562E+3	250.00000E+3	10.721906E-12	36.673382E+0
-161.76484E+3	250.00000E+3	11.425892E-12	18.451151E+0
-159.80406E+3	250.00000E+3	11.586169E-12	29.450686E+0
-157.84328E+3	250.00000E+3	8.8639833E-12	-12.965074E+0
-155.88250E+3	250.00000E+3	8.4620505E-12	9.5893221E+0
-153.92172E+3	250.00000E+3	7.9627745E-12	3.7738006E+0
-151.96094E+3	250.00000E+3	7.3636245E-12	4.2784271E+0
-150.00016E+3	250.00000E+3	7.1640467E-12	1.6659675E+0
-148.03937E+3	250.00000E+3	7.0039270E-12	4.9217153E+0
-146.07859E+3	250.00000E+3	7.0593639E-12	2.1381626E+0
