Experiment	Experiment	
Saved Date	24.09.2019 13:44:38	
User		
f_res (Hz)	383205.765	
Q	14988	
Phase (deg)	-217.79	
Amp/Exc (nm/mV)	7.447	
Number of points	256	
Fit length	 	
Comment01	2nd resonance - dumped and standing free	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-153.00000E+0	383.20666E+3	3.5079961E-9	87.424339E+0
-151.80000E+0	383.20666E+3	3.5290251E-9	87.390167E+0
-150.60001E+0	383.20666E+3	3.5523746E-9	87.357124E+0
-149.40001E+0	383.20666E+3	3.5824468E-9	87.325890E+0
-148.20001E+0	383.20666E+3	3.6132444E-9	87.329178E+0
-147.00002E+0	383.20666E+3	3.6424035E-9	87.318092E+0
-145.80002E+0	383.20666E+3	3.6777734E-9	87.331322E+0
-144.60002E+0	383.20666E+3	3.7059900E-9	87.284248E+0
-143.40002E+0	383.20666E+3	3.7392911E-9	87.249321E+0
-142.20003E+0	383.20666E+3	3.7695647E-9	87.236504E+0
-141.00003E+0	383.20666E+3	3.8024583E-9	87.223267E+0
-139.80003E+0	383.20666E+3	3.8342809E-9	87.195969E+0
-138.60004E+0	383.20666E+3	3.8691343E-9	87.145447E+0
-137.40004E+0	383.20666E+3	3.9041232E-9	87.110184E+0
-136.20004E+0	383.20666E+3	3.9401256E-9	87.102539E+0
-135.00005E+0	383.20666E+3	3.9749151E-9	87.080986E+0
-133.80005E+0	383.20666E+3	4.0143759E-9	87.054382E+0
-132.60005E+0	383.20666E+3	4.0493005E-9	87.083740E+0
-131.40005E+0	383.20666E+3	4.0906416E-9	87.013260E+0
-130.20006E+0	383.20666E+3	4.1257766E-9	86.996315E+0
-129.00006E+0	383.20666E+3	4.1656696E-9	86.957207E+0
-127.80006E+0	383.20666E+3	4.2085326E-9	86.896782E+0
-126.60007E+0	383.20666E+3	4.2477963E-9	86.854546E+0
-125.40007E+0	383.20666E+3	4.2897224E-9	86.831047E+0
-124.20007E+0	383.20666E+3	4.3326112E-9	86.825508E+0
-123.00008E+0	383.20666E+3	4.3772115E-9	86.735626E+0
-121.80008E+0	383.20666E+3	4.4250532E-9	86.701218E+0
-120.60008E+0	383.20666E+3	4.4662172E-9	86.663345E+0
-119.40009E+0	383.20666E+3	4.5152815E-9	86.583351E+0
-118.20009E+0	383.20666E+3	4.5617132E-9	86.564728E+0
-117.00009E+0	383.20666E+3	4.6066861E-9	86.479904E+0
-115.80009E+0	383.20666E+3	4.6599244E-9	86.496742E+0
-114.60010E+0	383.20666E+3	4.7092490E-9	86.354942E+0
-113.40010E+0	383.20666E+3	4.7606510E-9	86.329063E+0
-112.20010E+0	383.20666E+3	4.8177839E-9	86.294357E+0
-111.00011E+0	383.20666E+3	4.8676716E-9	86.214684E+0
-109.80011E+0	383.20666E+3	4.9250293E-9	86.114098E+0
-108.60011E+0	383.20666E+3	4.9787503E-9	86.061356E+0
-107.40012E+0	383.20666E+3	5.0331255E-9	86.002899E+0
-106.20012E+0	383.20666E+3	5.0970757E-9	85.949196E+0
-105.00012E+0	383.20666E+3	5.1540834E-9	85.836121E+0
-103.80013E+0	383.20666E+3	5.2153082E-9	85.788834E+0
-102.60013E+0	383.20666E+3	5.2813713E-9	85.718826E+0
-101.40013E+0	383.20666E+3	5.3451763E-9	85.585205E+0
