Experiment	bias spectroscopy	
Saved Date	07.11.2019 11:27:29	
User		
Date		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-103.169E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 11:27:02	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	19.388731E-9	-82.574867E+0	19.554083E-9	-82.937660E+0
-992.15686E-3	19.379712E-9	-82.281281E+0	19.569539E-9	-82.618034E+0
-984.31373E-3	19.379199E-9	-81.644142E+0	19.582359E-9	-82.076889E+0
-976.47059E-3	19.366638E-9	-81.997414E+0	19.594635E-9	-82.943504E+0
-968.62745E-3	19.357877E-9	-80.678299E+0	19.605386E-9	-80.569443E+0
-960.78432E-3	19.355369E-9	-79.871353E+0	19.619819E-9	-79.845917E+0
-952.94118E-3	19.349155E-9	-78.764267E+0	19.629656E-9	-78.403419E+0
-945.09804E-3	19.347150E-9	-78.793068E+0	19.636586E-9	-78.951721E+0
-937.25491E-3	19.339732E-9	-78.025406E+0	19.643656E-9	-78.445190E+0
-929.41177E-3	19.337147E-9	-78.613914E+0	19.658740E-9	-78.480568E+0
-921.56863E-3	19.330621E-9	-78.129082E+0	19.662975E-9	-78.846809E+0
-913.72550E-3	19.323204E-9	-78.188408E+0	19.678399E-9	-78.059235E+0
-905.88236E-3	19.317749E-9	-75.537163E+0	19.693953E-9	-76.912689E+0
-898.03922E-3	19.314879E-9	-75.640213E+0	19.705217E-9	-76.579521E+0
-890.19608E-3	19.305313E-9	-76.331833E+0	19.713990E-9	-76.120995E+0
-882.35295E-3	19.303652E-9	-75.496109E+0	19.721893E-9	-73.709084E+0
-874.50981E-3	19.300508E-9	-74.899628E+0	19.727565E-9	-73.983101E+0
