Experiment	Experiment	
Saved Date	30.01.2019 15:28:33	
User		
f_res (Hz)	59582.4580	
Q	173	
Phase (deg)	-590.81	
Amp/Exc (nm/mV)	4435155.500	
Number of points	256	
Fit length	 	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-4.0000000E+3	59.584008E+3	28.516615E-3	149.87805E+0
-3.9686274E+3	59.584008E+3	24.419205E-3	155.71529E+0
-3.9372549E+3	59.584008E+3	24.592271E-3	164.14946E+0
-3.9058823E+3	59.584008E+3	25.160838E-3	167.03905E+0
-3.8745098E+3	59.584008E+3	28.209759E-3	155.65158E+0
-3.8431372E+3	59.584008E+3	34.117278E-3	171.96422E+0
-3.8117646E+3	59.584008E+3	36.049642E-3	165.89738E+0
-3.7803921E+3	59.584008E+3	35.769489E-3	163.99773E+0
-3.7490195E+3	59.584008E+3	37.421744E-3	164.55522E+0
-3.7176470E+3	59.584008E+3	41.185994E-3	163.10886E+0
-3.6862744E+3	59.584008E+3	44.958074E-3	159.01613E+0
-3.6549019E+3	59.584008E+3	48.162792E-3	153.22971E+0
-3.6235293E+3	59.584008E+3	50.931156E-3	144.10172E+0
-3.5921567E+3	59.584008E+3	50.069850E-3	133.94753E+0
-3.5607842E+3	59.584008E+3	46.016946E-3	123.80553E+0
-3.5294116E+3	59.584008E+3	39.213099E-3	113.74574E+0
-3.4980391E+3	59.584008E+3	29.850408E-3	110.20625E+0
-3.4666665E+3	59.584008E+3	21.467550E-3	114.23456E+0
-3.4352939E+3	59.584008E+3	16.464038E-3	134.18515E+0
-3.4039214E+3	59.584008E+3	17.947098E-3	158.85945E+0
-3.3725488E+3	59.584008E+3	22.628108E-3	165.90291E+0
-3.3411763E+3	59.584008E+3	28.968044E-3	93.461731E+0
-3.3098037E+3	59.584008E+3	38.426604E-3	82.276115E+0
-3.2784312E+3	59.584008E+3	48.132908E-3	170.85390E+0
-3.2470586E+3	59.584008E+3	51.754024E-3	163.02803E+0
