Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:17:17	
User		
Date		
X (m)	4.74282E-6	
Y (m)	-1.38073E-6	
Z (m)	-10.7538E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:16:48	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	99.367831E-9	-59.734959E+0	105.58548E-9	-53.785778E+0
-992.15686E-3	99.423318E-9	-48.842506E+0	105.62581E-9	-55.142323E+0
-984.31373E-3	99.443390E-9	-59.388069E+0	105.65504E-9	-53.568199E+0
-976.47059E-3	99.483842E-9	-49.082577E+0	105.66863E-9	-53.649349E+0
-968.62745E-3	99.523312E-9	-58.911419E+0	105.68522E-9	-52.443329E+0
-960.78432E-3	99.519426E-9	-48.534180E+0	105.70869E-9	-54.724148E+0
-952.94118E-3	99.595702E-9	-55.216763E+0	105.74233E-9	-52.915329E+0
-945.09804E-3	99.599710E-9	-50.375885E+0	105.75074E-9	-52.319843E+0
-937.25491E-3	99.690752E-9	-51.648945E+0	105.78201E-9	-51.738194E+0
-929.41177E-3	99.674338E-9	-51.712357E+0	105.79301E-9	-53.012608E+0
-921.56863E-3	99.770745E-9	-49.490036E+0	105.82171E-9	-51.879166E+0
-913.72550E-3	99.775292E-9	-54.280148E+0	105.82519E-9	-50.528751E+0
-905.88236E-3	99.871379E-9	-46.153961E+0	105.84525E-9	-51.668755E+0
-898.03922E-3	99.874384E-9	-55.553448E+0	105.86000E-9	-51.191097E+0
-890.19608E-3	99.951620E-9	-46.771591E+0	105.89553E-9	-52.020504E+0
-882.35295E-3	100.00909E-9	-54.257782E+0	105.91443E-9	-49.906399E+0
-874.50981E-3	100.05512E-9	-45.392250E+0	105.94679E-9	-51.902336E+0
-866.66667E-3	100.11185E-9	-53.281151E+0	105.99071E-9	-49.613846E+0
-858.82354E-3	100.13782E-9	-47.508911E+0	106.00966E-9	-50.656445E+0
-850.98040E-3	100.23034E-9	-49.087780E+0	106.04212E-9	-49.996189E+0
-843.13726E-3	100.24320E-9	-47.816048E+0	106.04811E-9	-49.671696E+0
-835.29413E-3	100.32978E-9	-48.113152E+0	106.08379E-9	-48.680832E+0
-827.45099E-3	100.34577E-9	-49.617756E+0	106.10513E-9	-49.051979E+0
-819.60785E-3	100.44697E-9	-44.721912E+0	106.13272E-9	-49.836319E+0
-811.76472E-3	100.45360E-9	-51.650314E+0	106.12673E-9	-47.830601E+0
-803.92158E-3	100.52850E-9	-44.784588E+0	106.14647E-9	-48.302418E+0
-796.07844E-3	100.56407E-9	-50.744133E+0	106.16912E-9	-47.914547E+0
-788.23531E-3	100.63968E-9	-43.670673E+0	106.18997E-9	-49.501202E+0
-780.39217E-3	100.68972E-9	-51.135727E+0	106.20262E-9	-46.863239E+0
-772.54903E-3	100.72801E-9	-43.517506E+0	106.21762E-9	-47.783905E+0
-764.70590E-3	100.80034E-9	-47.748554E+0	106.24878E-9	-47.037285E+0
-756.86276E-3	100.83527E-9	-45.110752E+0	106.25088E-9	-47.616730E+0
-749.01962E-3	100.91966E-9	-46.569298E+0	106.26559E-9	-46.471844E+0
-741.17649E-3	100.92890E-9	-45.668648E+0	106.26780E-9	-46.751343E+0
-733.33335E-3	101.00862E-9	-43.788738E+0	106.29821E-9	-46.497047E+0
-725.49021E-3	101.02645E-9	-48.618031E+0	106.30633E-9	-45.340302E+0
-717.64708E-3	101.11083E-9	-42.543350E+0	106.31845E-9	-46.910656E+0
-709.80394E-3	101.13057E-9	-47.556221E+0	106.32974E-9	-45.742023E+0
-701.96080E-3	101.20199E-9	-42.325737E+0	106.34436E-9	-45.788727E+0
-694.11767E-3	101.25427E-9	-48.137577E+0	106.34967E-9	-43.743904E+0
-686.27453E-3	101.31330E-9	-41.363224E+0	106.33619E-9	-45.963158E+0
-678.43139E-3	101.36552E-9	-46.112995E+0	106.35447E-9	-45.022141E+0
-670.58825E-3	101.40854E-9	-42.632050E+0	106.36397E-9	-45.101921E+0
-662.74512E-3	101.49111E-9	-44.107430E+0	106.40402E-9	-43.948780E+0
-654.90198E-3	101.53252E-9	-41.947556E+0	106.40292E-9	-45.311546E+0
-647.05884E-3	101.60796E-9	-43.064232E+0	106.43349E-9	-45.443066E+0
-639.21571E-3	101.64027E-9	-44.403015E+0	106.44591E-9	-43.713772E+0
-631.37257E-3	101.72630E-9	-40.286770E+0	106.47794E-9	-44.039295E+0
-623.52937E-3	101.76797E-9	-44.397945E+0	106.47793E-9	-43.520466E+0
-615.68624E-3	101.84372E-9	-41.084770E+0	106.49947E-9	-44.437531E+0
-607.84310E-3	101.88509E-9	-45.032837E+0	106.51547E-9	-42.342163E+0
-599.99996E-3	101.95345E-9	-38.963638E+0	106.52368E-9	-44.014168E+0
-592.15683E-3	102.02078E-9	-44.244663E+0	106.54647E-9	-42.050060E+0
-584.31369E-3	102.06536E-9	-40.778622E+0	106.54404E-9	-43.451736E+0
-576.47055E-3	102.12844E-9	-42.149090E+0	106.58065E-9	-42.827023E+0
-568.62742E-3	102.17806E-9	-39.888638E+0	106.58801E-9	-43.448383E+0
-560.78428E-3	102.25575E-9	-41.576561E+0	106.62105E-9	-41.766582E+0
-552.94114E-3	102.28985E-9	-41.070957E+0	106.63109E-9	-41.718098E+0
-545.09801E-3	102.36091E-9	-39.459339E+0	106.66358E-9	-43.083431E+0
-537.25487E-3	102.41003E-9	-41.610146E+0	106.66602E-9	-41.666477E+0
-529.41173E-3	102.48671E-9	-39.331268E+0	106.68187E-9	-41.145840E+0
-521.56860E-3	102.52513E-9	-41.958298E+0	106.68369E-9	-40.249950E+0
-513.72546E-3	102.58695E-9	-37.908363E+0	106.69399E-9	-42.837193E+0
-505.88232E-3	102.63366E-9	-43.027138E+0	106.71108E-9	-40.418507E+0
-498.03919E-3	102.69815E-9	-37.999100E+0	106.70316E-9	-40.995846E+0
-490.19605E-3	102.75394E-9	-40.173233E+0	106.71245E-9	-39.946285E+0
-482.35291E-3	102.79459E-9	-38.233109E+0	106.71496E-9	-41.494297E+0
-474.50978E-3	102.86832E-9	-40.517071E+0	106.74016E-9	-39.796318E+0
-466.66664E-3	102.92148E-9	-38.444733E+0	106.73200E-9	-40.560513E+0
-458.82350E-3	102.99081E-9	-37.760792E+0	106.74967E-9	-40.381069E+0
-450.98037E-3	103.01039E-9	-39.907352E+0	106.76582E-9	-39.116756E+0
-443.13723E-3	103.08791E-9	-38.036541E+0	106.76940E-9	-39.797626E+0
-435.29409E-3	103.12959E-9	-39.258644E+0	106.76812E-9	-39.598232E+0
-427.45095E-3	103.19341E-9	-36.664032E+0	106.77977E-9	-40.575928E+0
-419.60782E-3	103.22549E-9	-40.549065E+0	106.78333E-9	-37.675522E+0
-411.76468E-3	103.28715E-9	-36.466286E+0	106.80128E-9	-39.721333E+0
-403.92154E-3	103.34700E-9	-38.500702E+0	106.81432E-9	-39.443783E+0
-396.07841E-3	103.39896E-9	-36.875690E+0	106.81363E-9	-39.618206E+0
-388.23527E-3	103.44395E-9	-39.053917E+0	106.84798E-9	-37.233833E+0
-380.39213E-3	103.49502E-9	-35.895130E+0	106.84057E-9	-38.555321E+0
-372.54900E-3	103.56219E-9	-37.208969E+0	106.84721E-9	-38.561737E+0
-364.70586E-3	103.59914E-9	-38.219082E+0	106.83899E-9	-38.269001E+0
-356.86272E-3	103.65698E-9	-36.309650E+0	106.86811E-9	-38.274464E+0
-349.01959E-3	103.68295E-9	-37.131927E+0	106.86990E-9	-37.614056E+0
