Experiment	bias spectroscopy	
Saved Date	06.11.2019 10:20:20	
User		
Date		
X (m)	-3.0725E-6	
Y (m)	3.07822E-6	
Z (m)	-317.759E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	06.11.2019 10:19:49	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	109.73636E-9	-17.938005E+0	109.77282E-9	-19.528826E+0
-992.15686E-3	109.73876E-9	-18.409304E+0	109.78380E-9	-18.548079E+0
-984.31373E-3	109.72713E-9	-19.192974E+0	109.79169E-9	-17.481928E+0
-976.47059E-3	109.73662E-9	-16.469692E+0	109.80276E-9	-18.191498E+0
-968.62745E-3	109.74325E-9	-17.645676E+0	109.82156E-9	-19.363146E+0
-960.78432E-3	109.73185E-9	-18.400551E+0	109.82772E-9	-17.966791E+0
-952.94118E-3	109.73255E-9	-18.206890E+0	109.84424E-9	-17.260162E+0
-945.09804E-3	109.73393E-9	-16.863255E+0	109.86138E-9	-18.039400E+0
-937.25491E-3	109.73010E-9	-17.734034E+0	109.87861E-9	-18.588675E+0
-929.41177E-3	109.72906E-9	-18.227346E+0	109.87929E-9	-17.000444E+0
-921.56863E-3	109.73475E-9	-16.680988E+0	109.88232E-9	-16.519352E+0
-913.72550E-3	109.73495E-9	-16.859793E+0	109.89901E-9	-17.697588E+0
-905.88236E-3	109.73847E-9	-16.970650E+0	109.91485E-9	-17.609657E+0
-898.03922E-3	109.73800E-9	-17.926161E+0	109.91604E-9	-16.631399E+0
-890.19608E-3	109.74427E-9	-15.821838E+0	109.92073E-9	-17.248568E+0
-882.35295E-3	109.74558E-9	-16.850340E+0	109.93372E-9	-17.254820E+0
-874.50981E-3	109.74640E-9	-17.158865E+0	109.93894E-9	-16.284946E+0
-866.66667E-3	109.75009E-9	-16.694721E+0	109.94886E-9	-16.239418E+0
-858.82354E-3	109.74513E-9	-15.507007E+0	109.95161E-9	-16.982058E+0
-850.98040E-3	109.75486E-9	-16.975859E+0	109.96212E-9	-16.994425E+0
-843.13726E-3	109.75351E-9	-17.435432E+0	109.98340E-9	-15.448035E+0
-835.29413E-3	109.75555E-9	-15.664304E+0	109.97895E-9	-15.817978E+0
-827.45099E-3	109.75300E-9	-15.848192E+0	109.98662E-9	-17.333132E+0
-819.60785E-3	109.76050E-9	-16.442436E+0	109.99273E-9	-16.673954E+0
-811.76472E-3	109.75919E-9	-16.885317E+0	110.01183E-9	-14.722209E+0
-803.92158E-3	109.76047E-9	-14.863876E+0	110.00368E-9	-15.620269E+0
-796.07844E-3	109.76009E-9	-15.898085E+0	110.00854E-9	-16.458771E+0
-788.23531E-3	109.77002E-9	-16.248991E+0	110.01481E-9	-15.422884E+0
-780.39217E-3	109.77662E-9	-16.424091E+0	110.01732E-9	-14.882436E+0
-772.54903E-3	109.76194E-9	-14.803387E+0	110.01598E-9	-15.353691E+0
-764.70590E-3	109.77174E-9	-15.879371E+0	110.01319E-9	-15.787376E+0
-756.86276E-3	109.77701E-9	-16.125383E+0	110.02562E-9	-14.846158E+0
-749.01962E-3	109.78975E-9	-14.325714E+0	110.02859E-9	-15.256334E+0
-741.17649E-3	109.77957E-9	-14.924807E+0	110.03242E-9	-15.662557E+0
-733.33335E-3	109.79651E-9	-15.203488E+0	110.03365E-9	-14.871810E+0
-725.49021E-3	109.80651E-9	-15.776073E+0	110.03770E-9	-13.922242E+0
-717.64708E-3	109.80222E-9	-13.859605E+0	110.03955E-9	-15.458947E+0
-709.80394E-3	109.81002E-9	-14.749466E+0	110.04035E-9	-15.588125E+0
-701.96080E-3	109.81307E-9	-15.387648E+0	110.04023E-9	-14.060370E+0
-694.11767E-3	109.82422E-9	-14.774405E+0	110.04027E-9	-13.603390E+0
-686.27453E-3	109.82058E-9	-13.873939E+0	110.03227E-9	-14.763403E+0
-678.43139E-3	109.82465E-9	-15.147097E+0	110.02358E-9	-15.118935E+0
-670.58825E-3	109.83491E-9	-15.162542E+0	110.02346E-9	-13.712666E+0
-662.74512E-3	109.85191E-9	-13.447445E+0	110.02628E-9	-13.628467E+0
-654.90198E-3	109.84539E-9	-13.753283E+0	110.01712E-9	-14.419130E+0
-647.05884E-3	109.85717E-9	-14.299305E+0	110.01045E-9	-14.614751E+0
-639.21571E-3	109.86040E-9	-14.790075E+0	110.01229E-9	-13.907527E+0
-631.37257E-3	109.87186E-9	-13.010646E+0	110.02004E-9	-14.231751E+0
-623.52937E-3	109.88146E-9	-14.058933E+0	110.02167E-9	-14.226501E+0
-615.68624E-3	109.88288E-9	-14.592166E+0	110.01726E-9	-13.795515E+0
-607.84310E-3	109.89794E-9	-13.835505E+0	110.01977E-9	-13.999612E+0
-599.99996E-3	109.90061E-9	-12.940444E+0	110.03295E-9	-14.507467E+0
-592.15683E-3	109.91358E-9	-14.087393E+0	110.03000E-9	-14.226380E+0
-584.31369E-3	109.90478E-9	-14.858399E+0	110.02371E-9	-13.009709E+0
-576.47055E-3	109.92984E-9	-12.408924E+0	110.03120E-9	-13.696819E+0
-568.62742E-3	109.94187E-9	-13.091431E+0	110.03620E-9	-14.869194E+0
-560.78428E-3	109.94781E-9	-13.806432E+0	110.04176E-9	-14.143357E+0
-552.94114E-3	109.95355E-9	-14.114469E+0	110.03640E-9	-12.536417E+0
-545.09801E-3	109.97448E-9	-12.256069E+0	110.04793E-9	-13.447839E+0
-537.25487E-3	109.97484E-9	-13.564221E+0	110.05627E-9	-14.500052E+0
-529.41173E-3	109.97032E-9	-14.270031E+0	110.05216E-9	-13.654811E+0
-521.56860E-3	109.97815E-9	-13.468946E+0	110.06119E-9	-13.119233E+0
-513.72546E-3	109.98509E-9	-12.362792E+0	110.07566E-9	-13.844203E+0
-505.88232E-3	109.99512E-9	-13.603518E+0	110.07885E-9	-14.137965E+0
-498.03919E-3	109.97937E-9	-14.344389E+0	110.09078E-9	-12.844275E+0
-490.19605E-3	109.99366E-9	-12.218349E+0	110.08308E-9	-13.775715E+0
-482.35291E-3	109.99155E-9	-12.673905E+0	110.10165E-9	-14.097219E+0
-474.50978E-3	110.00721E-9	-13.328567E+0	110.10886E-9	-13.288233E+0
-466.66664E-3	110.00748E-9	-13.315124E+0	110.11808E-9	-12.481785E+0
-458.82350E-3	110.02214E-9	-11.619515E+0	110.12160E-9	-13.434574E+0
-450.98037E-3	110.03776E-9	-12.587777E+0	110.13054E-9	-13.870805E+0
-443.13723E-3	110.04046E-9	-13.444480E+0	110.13481E-9	-12.459414E+0
-435.29409E-3	110.05032E-9	-12.646512E+0	110.14111E-9	-12.278069E+0
-427.45095E-3	110.05926E-9	-11.871756E+0	110.14151E-9	-13.577812E+0
-419.60782E-3	110.06983E-9	-12.746952E+0	110.15593E-9	-13.361566E+0
-411.76468E-3	110.06611E-9	-13.675335E+0	110.15293E-9	-11.717884E+0
-403.92154E-3	110.07764E-9	-12.051230E+0	110.14833E-9	-12.140437E+0
-396.07841E-3	110.07607E-9	-11.962230E+0	110.14767E-9	-12.991237E+0
-388.23527E-3	110.09269E-9	-12.828016E+0	110.15392E-9	-12.779401E+0
-380.39213E-3	110.08775E-9	-13.046052E+0	110.15477E-9	-11.505564E+0
-372.54900E-3	110.09305E-9	-11.371348E+0	110.13909E-9	-12.092064E+0
-364.70586E-3	110.09689E-9	-12.450012E+0	110.14100E-9	-12.846620E+0
-356.86272E-3	110.09848E-9	-13.335777E+0	110.14809E-9	-12.145683E+0
-349.01959E-3	110.08544E-9	-13.219797E+0	110.14113E-9	-12.031629E+0
-341.17645E-3	110.07065E-9	-12.002656E+0	110.13801E-9	-12.963137E+0
-333.33331E-3	110.08448E-9	-12.854287E+0	110.15639E-9	-12.817119E+0
-325.49018E-3	110.07790E-9	-13.428242E+0	110.16289E-9	-11.211438E+0
-317.64704E-3	110.07658E-9	-11.572608E+0	110.14252E-9	-11.707396E+0
-309.80390E-3	110.07430E-9	-11.953650E+0	110.13800E-9	-12.660908E+0
-301.96077E-3	110.07748E-9	-12.487452E+0	110.13318E-9	-12.567609E+0
-294.11763E-3	110.08836E-9	-12.859966E+0	110.14608E-9	-11.238743E+0
-286.27449E-3	110.07982E-9	-11.256329E+0	110.14212E-9	-12.334887E+0
-278.43136E-3	110.08055E-9	-12.634667E+0	110.14512E-9	-13.382927E+0
-270.58822E-3	110.07766E-9	-12.729978E+0	110.15646E-9	-11.959526E+0
-262.74508E-3	110.08417E-9	-12.644163E+0	110.15047E-9	-11.082215E+0
-254.90195E-3	110.07731E-9	-11.474503E+0	110.14942E-9	-11.966743E+0
-247.05875E-3	110.08066E-9	-12.176089E+0	110.13542E-9	-12.194579E+0
-239.21561E-3	110.08870E-9	-12.879329E+0	110.13953E-9	-11.179734E+0
-231.37248E-3	110.09595E-9	-11.447758E+0	110.13059E-9	-11.559430E+0
-223.52934E-3	110.09003E-9	-11.665495E+0	110.11614E-9	-11.663055E+0
-215.68620E-3	110.09897E-9	-12.219690E+0	110.10701E-9	-11.603272E+0
-207.84307E-3	110.10370E-9	-12.243846E+0	110.10441E-9	-11.064181E+0
-199.99993E-3	110.10833E-9	-10.730084E+0	110.10883E-9	-12.022959E+0
-192.15679E-3	110.09561E-9	-12.175658E+0	110.10040E-9	-12.704768E+0
-184.31365E-3	110.09676E-9	-12.387753E+0	110.09823E-9	-11.646801E+0
-176.47052E-3	110.10756E-9	-12.129354E+0	110.11052E-9	-11.357823E+0
-168.62738E-3	110.09781E-9	-11.213688E+0	110.12116E-9	-12.662850E+0
-160.78424E-3	110.09649E-9	-12.362224E+0	110.11453E-9	-12.433608E+0
-152.94111E-3	110.08631E-9	-12.973005E+0	110.11721E-9	-10.672050E+0
-145.09797E-3	110.09725E-9	-11.343487E+0	110.11045E-9	-10.876798E+0
-137.25483E-3	110.08799E-9	-11.511538E+0	110.11107E-9	-11.914878E+0
-129.41170E-3	110.09324E-9	-12.020469E+0	110.09946E-9	-11.902149E+0
-121.56856E-3	110.10059E-9	-12.403264E+0	110.09197E-9	-10.982728E+0
-113.72542E-3	110.10629E-9	-10.623136E+0	110.10389E-9	-11.525475E+0
-105.88229E-3	110.11031E-9	-11.916323E+0	110.10617E-9	-12.111278E+0
-98.039150E-3	110.10140E-9	-12.288471E+0	110.09175E-9	-11.396834E+0
-90.196013E-3	110.11061E-9	-11.986877E+0	110.09423E-9	-11.216472E+0
-82.352877E-3	110.11008E-9	-11.040461E+0	110.10084E-9	-11.972893E+0
-74.509740E-3	110.10651E-9	-11.994285E+0	110.09341E-9	-11.609286E+0
-66.666603E-3	110.09440E-9	-12.790123E+0	110.08343E-9	-10.765807E+0
-58.823466E-3	110.11035E-9	-10.914431E+0	110.08095E-9	-11.327796E+0
-50.980330E-3	110.10429E-9	-11.309545E+0	110.08250E-9	-12.281033E+0
-43.137193E-3	110.09548E-9	-12.092716E+0	110.07574E-9	-11.926908E+0
-35.294056E-3	110.09774E-9	-12.400008E+0	110.06988E-9	-10.255501E+0
-27.450919E-3	110.10709E-9	-10.618208E+0	110.06401E-9	-11.309819E+0
-19.607782E-3	110.11239E-9	-11.330755E+0	110.07370E-9	-12.549036E+0
-11.764646E-3	110.11172E-9	-12.081364E+0	110.06831E-9	-11.339566E+0
-3.9215088E-3	110.11283E-9	-12.013800E+0	110.05949E-9	-10.578478E+0
3.9216280E-3	110.11586E-9	-10.778883E+0	110.05764E-9	-11.540789E+0
11.764765E-3	110.11962E-9	-11.679663E+0	110.05770E-9	-12.236774E+0
19.607902E-3	110.11296E-9	-12.842964E+0	110.05337E-9	-10.872951E+0
27.451038E-3	110.11414E-9	-11.153327E+0	110.04381E-9	-11.261206E+0
35.294175E-3	110.11681E-9	-11.078412E+0	110.04790E-9	-11.980077E+0
43.137312E-3	110.12307E-9	-12.015162E+0	110.05631E-9	-11.887118E+0
50.980449E-3	110.11424E-9	-12.324245E+0	110.05045E-9	-11.074500E+0
