Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:38:07	
User		
Date		
X (m)	5.00662E-6	
Y (m)	-1.38228E-6	
Z (m)	-79.2844E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:37:34	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-1.0000000E+0	8.8909999E-9	-106.41389E+0	8.5134744E-9	-89.936272E+0
-992.15686E-3	8.8597929E-9	-106.69543E+0	8.5326235E-9	-91.275291E+0
-984.31373E-3	8.8317016E-9	-107.76824E+0	8.5459231E-9	-91.474945E+0
-976.47059E-3	8.8097316E-9	-105.92728E+0	8.5648715E-9	-93.908104E+0
-968.62745E-3	8.7967047E-9	-98.832649E+0	8.5823704E-9	-98.101082E+0
-960.78432E-3	8.7871790E-9	-98.440849E+0	8.5996295E-9	-97.752281E+0
-952.94118E-3	8.7720862E-9	-99.048065E+0	8.6169170E-9	-91.950188E+0
-945.09804E-3	8.7616758E-9	-98.196747E+0	8.6430383E-9	-88.931435E+0
-937.25491E-3	8.7482181E-9	-96.622459E+0	8.6608951E-9	-84.691360E+0
-929.41177E-3	8.7408871E-9	-97.786842E+0	8.6825995E-9	-90.863518E+0
-921.56863E-3	8.7287422E-9	-96.032959E+0	8.7084713E-9	-96.054665E+0
-913.72550E-3	8.7204022E-9	-94.961021E+0	8.7400780E-9	-88.481232E+0
-905.88236E-3	8.7053378E-9	-98.213600E+0	8.7629859E-9	-90.075096E+0
-898.03922E-3	8.6911642E-9	-95.475914E+0	8.7869791E-9	-90.710114E+0
-890.19608E-3	8.6763423E-9	-95.273827E+0	8.8095762E-9	-92.831665E+0
-882.35295E-3	8.6633429E-9	-94.048546E+0	8.8306420E-9	-88.189568E+0
-874.50981E-3	8.6546770E-9	-93.912193E+0	8.8494865E-9	-85.488220E+0
-866.66667E-3	8.6488035E-9	-91.347870E+0	8.8736645E-9	-86.307793E+0
-858.82354E-3	8.6496712E-9	-91.734619E+0	8.9012255E-9	-89.675789E+0
-850.98040E-3	8.6458609E-9	-91.222992E+0	8.9216599E-9	-84.199005E+0
-843.13726E-3	8.6389740E-9	-89.197464E+0	8.9384189E-9	-84.548347E+0
