Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:22:35	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-98.1261E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:21:39	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
9.9999999E-9	68.554685E-3	67.101844E-3	103.62747E-9	-24.044363E+0	164.34479E-3	548.62291E-3	25.237236E-9	-80.968155E+0
9.8823527E-9	69.853209E-3	24.393408E-3	103.79500E-9	-27.800060E+0	165.96985E-3	584.44506E-3	24.569461E-9	-81.343246E+0
9.7647055E-9	68.525188E-3	62.368989E-3	104.07292E-9	-22.272490E+0	170.79976E-3	576.45738E-3	23.907331E-9	-78.828522E+0
9.6470592E-9	67.564905E-3	35.168756E-3	104.19154E-9	-24.219067E+0	176.51825E-3	561.20878E-3	23.275772E-9	-86.587540E+0
9.5294119E-9	68.139143E-3	40.393345E-3	104.41629E-9	-28.687496E+0	179.67123E-3	561.99509E-3	22.644178E-9	-87.270119E+0
9.4117647E-9	69.694012E-3	40.762320E-3	104.58779E-9	-23.329390E+0	184.83022E-3	536.26829E-3	22.027084E-9	-88.992043E+0
9.2941175E-9	68.412274E-3	44.313040E-3	104.69449E-9	-27.210230E+0	189.80357E-3	537.11170E-3	21.419188E-9	-96.845062E+0
9.1764703E-9	69.480389E-3	14.033120E-3	104.92915E-9	-26.677666E+0	192.52472E-3	483.01834E-3	20.855136E-9	-99.371384E+0
9.0588230E-9	69.516502E-3	63.141011E-3	105.06430E-9	-22.628151E+0	194.48751E-3	586.16847E-3	20.293362E-9	-91.417389E+0
8.9411767E-9	69.365948E-3	-9.4699794E-3	105.22149E-9	-27.346130E+0	198.41410E-3	497.45944E-3	19.736532E-9	-100.49938E+0
8.8235295E-9	69.247946E-3	62.377039E-3	105.39062E-9	-26.583931E+0	203.15145E-3	539.90102E-3	19.208409E-9	-105.22784E+0
8.7058822E-9	69.700629E-3	3.0012839E-3	105.50445E-9	-23.413464E+0	204.73124E-3	517.94696E-3	18.666620E-9	-101.05644E+0
8.5882350E-9	67.821249E-3	37.871819E-3	105.71095E-9	-28.095247E+0	210.20609E-3	525.57892E-3	18.113731E-9	-103.91678E+0
8.4705878E-9	67.907713E-3	13.578211E-3	105.77847E-9	-25.763121E+0	214.86156E-3	490.78470E-3	17.640698E-9	-112.37379E+0
8.3529414E-9	69.164023E-3	34.853347E-3	105.98623E-9	-22.187468E+0	218.98600E-3	492.64085E-3	17.134386E-9	-112.42413E+0
8.2352942E-9	68.856306E-3	15.819347E-3	106.12614E-9	-27.369015E+0	221.69037E-3	569.97418E-3	16.619031E-9	-107.04628E+0
8.1176470E-9	68.072505E-3	31.822763E-3	106.27059E-9	-25.071623E+0	226.67389E-3	485.30996E-3	16.176610E-9	-114.84465E+0
7.9999998E-9	67.827351E-3	16.659597E-3	106.42652E-9	-24.908903E+0	230.63609E-3	569.45050E-3	15.679802E-9	-113.56679E+0
7.8823525E-9	68.341069E-3	30.048076E-3	106.52190E-9	-29.003736E+0	232.54548E-3	529.90103E-3	15.233082E-9	-112.36891E+0
7.7647062E-9	68.029784E-3	783.67983E-6	106.66153E-9	-24.709831E+0	237.00459E-3	544.00480E-3	14.759010E-9	-117.29446E+0
7.6470590E-9	68.991601E-3	40.556327E-3	106.78173E-9	-24.605339E+0	242.04865E-3	516.88689E-3	14.305179E-9	-122.59763E+0
